الجرد,الشفرة,العنوان,المؤلف,الناشر,السنة,ISBN,السعر,المصدر
17/01,MF/681/1,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/02,MF/681/2,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/03,MF/681/3,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/04,MF/681/4,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/05,MF/682/1,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/06,MF/682/2,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/07,MF/682/3,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/08,MF/682/4,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/09,MF/682/5,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/10,INF/524/1,"Informatique: les fondamentaux, des exemples concrets, 300 QCM et exercices corrigés...lexique Français anglais","Delacroix, Lambert, Plateau",Dunod,2017,978-2-10-076094-7,"6,739.20",شراء
17/11,INF/524/2,"Informatique: les fondamentaux, des exemples concrets, 300 QCM et exercices corrigés...lexique Français anglais","Delacroix, Lambert, Plateau",Dunod,2017,978-2-10-076094-7,"6,739.20",شراء
17/12,MF/683/1,Mathématiques Exercices incontournables BCPST 1,"Rousse, Blanc",Dunod,2017,978-2-10-76633-8,"5,468.16",شراء
17/13,MF/683/2,Mathématiques Exercices incontournables BCPST 1,"Rousse, Blanc",Dunod,2017,978-2-10-76633-8,"5,468.16",شراء
17/14,MF/683/3,Mathématiques Exercices incontournables BCPST 1,"Rousse, Blanc",Dunod,2017,978-2-10-76633-8,"5,468.16",شراء
17/15,MF/684/1,Analyse complexe et applications - Cours et exercices,"Hervé Queffélec, Martine Queffélec",Calvage et Mounet,2017,978-2-916352-59-6,"7,541.76",شراء
17/16,MF/684/2,Analyse complexe et applications - Cours et exercices,"Hervé Queffélec, Martine Queffélec",Calvage et Mounet,2017,978-2-916352-59-6,"7,541.76",شراء
17/17,MF/684/3,Analyse complexe et applications - Cours et exercices,"Hervé Queffélec, Martine Queffélec",Calvage et Mounet,2017,978-2-916352-59-6,"7,541.76",شراء
17/18,MF/685/1,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/19,MF/685/2,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/20,MF/685/3,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/21,MF/685/4,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/22,MF/686/1,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/23,MF/686/2,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/24,MF/686/3,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/25,MF/686/4,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/26,MF/687/1,Maths PCSI,Sylvain Gugger,Dunod,2017,"9,782,100,754,847","6,816.00",شراء
17/27,MF/687/2,Maths PCSI,Sylvain Gugger,Dunod,2017,"9,782,100,754,847","6,816.00",شراء
17/28,MF/687/3,Maths PCSI,Sylvain Gugger,Dunod,2017,"9,782,100,754,847","6,816.00",شراء
17/29,MF/688/1,"Mathématiques IUT 1re année - 2e édition L'essentiel du cours, exercices avec corrigés détaillés",Thierry Alhalel ,Dunod,2017,978-2-10-076726-7,"2,972.16",شراء
17/30,MF/688/2,"Mathématiques IUT 1re année - 2e édition L'essentiel du cours, exercices avec corrigés détaillés",Thierry Alhalel ,Dunod,2017,978-2-10-076726-7,"2,972.16",شراء
17/31,PHF/479/1,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/32,PHF/479/2,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/33,PHF/479/3,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
