Line 2052 | ,شاغر,,,,,,,
Line 4147 | دون رقم جرد,MF/12,Algébre 2eme edition ,M.zitouni,,,,,
Line 4611 | 769,MF/79,Cours d'algebre lineaire ,KHIREDINE,,,,,
Line 4728 | 17/403,MF/104,Statistique et probabilités - 6e édition,Jean-Pierre Lecoutre,,,978-2-7462-4799-4,,
Line 5257 | 56095,MF/197/,Mathémathéque 1ere années ,M.Mehbali,,,,,
Line 6659 | ",Todjihounde L. ,,,978-2-85428-912-1,,
Line 6663 | problèmes imbriqués",Groux R. ,,,978-2-85428-834-6,,
Line 6892 | 2911,MA 0615,التحليل 04,خضر حامد,,,,,
Line 7781 | 2407,MA 8110,مدخل إلى التحليل الرياضي ,رشيد توري ,,,,,
Line 7827 | 2315,MA 8169,مدخل إلى التحليل الرياضي ,رشيد توري ,,,,,
Line 7879 | 3168,MA 82/,مسائل وتمارين في التحليل الرياضي ,ديميد وفتيش ,,,,,
Line 9607 | ",,,,,
Line 10629 | دون رقم جرد,L F 4,american inrolvement in vitnam inthe  period 1961/1968,hachemi  aboubou,,,,,
Line 10635 | دون رقم جرد,L F 10,atriennes d'algerie ,,,,,,
Line 10713 | دون رقم جرد,L F 38,Grammaire,jean dubois ,,,,,
Line 10715 | دون رقم جرد,L F 39,Grammaire anglaise,,,,,,
Line 10813 | دون رقم جرد,L F 84,les comportements humains ,Gérard zunang ,,,,,
Line 11046 | 1154,L F 173,L'anglais en 90 leçons et en 90 jours,Michel Savio,,,,,
Line 11710 | 22934,L A 133,التدريس ( اهداف - اسس - اساليب - تقويم النتائج - تطبيقات ) ,فكري حسن ,,,,,
Line 11896 | دون رقم جرد,L A 211,تقنيات وسياسيات  التسير المصرفي ,يحراز  فريدة ,,,,,
Line 11897 | دون رقم جرد,L A 212,تقويم العملية  التكونيية   في الجامعة : دراسة ميدانية بجامعات الشرق الجزائري ,لحسن  بوعبد الله ,,,,,
Line 12206 | دون رقم جرد,INF93//1,15 leçon de maple ,J.claude ,,,,,
Line 12207 | دون رقم جرد,INF94//1,3D STUDIO 4,STEVEN.D,,,,,
Line 14880 | 11634,PHF/1611,QCM physique générale,JOHN.O,,,,,
Line 15951 | الجرد,الشفرة,العنوان,المؤلف,,,,,
Line 15984 | شاغر,PHA 12,,,,,,,
Line 23867 | دون رقم جرد,CHA/73,بن الهيثم كيمياء دروس وتمارين في الكيمياء العضوية ,عمار بن لحميدي,,,,,
Inserted 13477 Unique 3328 Dublicates 16074 Errors 27
